claim_id,page,line_or_section,exact_claim,claim_category,risk_reason,occurrence_count,duplicate_root_claim,recommended_action,required_evidence,safe_replacement_draft,automatic_change_allowed,manual_approval_required
HR-061,BP-2P-30-0001.html,audit extraction; source line not recorded,Custom flange patterns are available as special orders with 5–7 day additional lead time.,B - conditional language required,The statement may be usable only with operating conditions and evidence.,1,custom flange patterns are available as special orders with 5–7 day additional lead time.,Convert to conditional language after manual approval.,"Dated test record, field record, calculation method, and operating conditions.","State this as a typical, conditional outcome and identify the operating assumptions and evidence date.",no,yes
HR-062,BP-2P-95-0001.html,audit extraction; source line not recorded,Custom flange patterns are available as special orders with 7–10 day additional lead time.,B - conditional language required,The statement may be usable only with operating conditions and evidence.,1,custom flange patterns are available as special orders with 7–10 day additional lead time.,Convert to conditional language after manual approval.,"Dated test record, field record, calculation method, and operating conditions.","State this as a typical, conditional outcome and identify the operating assumptions and evidence date.",no,yes
HR-063,BP-2P-0001.html,audit extraction; source line not recorded,"Custom flange patterns, including metric and imperial bolt circles, are available as custom orders with 10–14 day lead time.",B - conditional language required,The statement may be usable only with operating conditions and evidence.,1,"custom flange patterns, including metric and imperial bolt circles, are available as custom orders with 10–14 day lead time.",Convert to conditional language after manual approval.,"Dated test record, field record, calculation method, and operating conditions.","State this as a typical, conditional outcome and identify the operating assumptions and evidence date.",no,yes
HR-064,BP-2P-95-0001.html,audit extraction; source line not recorded,Custom lead time is typically 14–21 days with free 3D STEP files.,B - conditional language required,The statement may be usable only with operating conditions and evidence.,1,custom lead time is typically 14–21 days with free 3d step files.,Convert to conditional language after manual approval.,"Dated test record, field record, calculation method, and operating conditions.","State this as a typical, conditional outcome and identify the operating assumptions and evidence date.",no,yes
HR-065,BP-3P-0007.html,audit extraction; source line not recorded,"Custom order precision: Each unit is 100% pressure tested to zero leakage before shipment, ensuring reliable operation in critical automation cells",C - Begapunk evidence required,"Trust-critical company, certification, or test claim requires source evidence.",1,"custom order precision: each unit is 100% pressure tested to zero leakage before shipment, ensuring reliable operation in critical automation cells",Retain only after evidence is indexed; otherwise remove or qualify.,"Signed test report, procedure, equipment calibration record, sample size, and acceptance criteria.","Describe the verified test method and result with scope, sample size, and date.",no,yes
HR-066,BP-3P-0007.html,line 262,Designed for compact automation and robot EOAT applications where low idle torque and zero leakage are critical.,A - absolute marketing language,Absolute marketing wording can overstate performance without bounded conditions.,1,designed for compact automation and robot eoat applications where low idle torque and zero leakage are critical.,Delete the absolute wording or replace it only after technical review.,Documented test conditions and approved technical wording.,"Use a specific, bounded statement that names the operating and test conditions.",no,yes
HR-067,blog-threaded-vs-flange.html,line 344,Do not cover the first thread — the leading thread must engage cleanly to guide the rest of the fitting.,A - absolute marketing language,Absolute marketing wording can overstate performance without bounded conditions.,1,do not cover the first thread — the leading thread must engage cleanly to guide the rest of the fitting.,Delete the absolute wording or replace it only after technical review.,Documented test conditions and approved technical wording.,"Use a specific, bounded statement that names the operating and test conditions.",no,yes
HR-068,blog-rotary-joint-materials.html,audit extraction; source line not recorded,"Dry air, clean coolant, normal factory → AL6061, lowest cost, best performance",A - absolute marketing language,Absolute marketing wording can overstate performance without bounded conditions.,1,"dry air, clean coolant, normal factory → al6061, lowest cost, best performance",Delete the absolute wording or replace it only after technical review.,Documented test conditions and approved technical wording.,"Use a specific, bounded statement that names the operating and test conditions.",no,yes
HR-069,applications.html,line 292,Each channel must be mechanically isolated with zero leakage tolerance.,A - absolute marketing language,Absolute marketing wording can overstate performance without bounded conditions.,1,each channel must be mechanically isolated with zero leakage tolerance.,Delete the absolute wording or replace it only after technical review.,Documented test conditions and approved technical wording.,"Use a specific, bounded statement that names the operating and test conditions.",no,yes
HR-070,BP-3P-0007.html,line 262,Each unit is 100% pressure tested before shipment.,C - Begapunk evidence required,"Trust-critical company, certification, or test claim requires source evidence.",1,each unit is 100% pressure tested before shipment.,Retain only after evidence is indexed; otherwise remove or qualify.,"Signed test report, procedure, equipment calibration record, sample size, and acceptance criteria.","Describe the verified test method and result with scope, sample size, and date.",no,yes
HR-071,BP-3P-0007.html,line 522,Each unit is 100% pressure tested to zero leakage before shipment as part of the custom order process.,C - Begapunk evidence required,"Trust-critical company, certification, or test claim requires source evidence.",1,each unit is 100% pressure tested to zero leakage before shipment as part of the custom order process.,Retain only after evidence is indexed; otherwise remove or qualify.,"Signed test report, procedure, equipment calibration record, sample size, and acceptance criteria.","Describe the verified test method and result with scope, sample size, and date.",no,yes
HR-072,BP-4P-30-0001.html,audit extraction; source line not recorded,"Eccentric mounting >0.2 mm creates cyclic side load on the seal, causing leak paths within 200 hours of operation.",B - conditional language required,The statement may be usable only with operating conditions and evidence.,1,"eccentric mounting >0.2 mm creates cyclic side load on the seal, causing leak paths within 200 hours of operation.",Convert to conditional language after manual approval.,"Dated test record, field record, calculation method, and operating conditions.","Inspection and replacement intervals depend on duty cycle, medium, filtration, temperature, pressure, and speed.",no,yes
HR-073,contact.html,audit extraction; source line not recorded,Fastest response — we reply within 24 hours,B - conditional language required,The statement may be usable only with operating conditions and evidence.,1,fastest response — we reply within 24 hours,Convert to conditional language after manual approval.,"Dated test record, field record, calculation method, and operating conditions.","Inspection and replacement intervals depend on duty cycle, medium, filtration, temperature, pressure, and speed.",no,yes
HR-074,application-packaging-machinery.html,audit extraction; source line not recorded,FKM seals: Replace every 6–8 months on continuous-duty lines,B - conditional language required,The statement may be usable only with operating conditions and evidence.,1,fkm seals: replace every 6–8 months on continuous-duty lines,Convert to conditional language after manual approval.,"Dated test record, field record, calculation method, and operating conditions.","Inspection and replacement intervals depend on duty cycle, medium, filtration, temperature, pressure, and speed.",no,yes
HR-075,blog-threaded-vs-flange.html,audit extraction; source line not recorded,"Flange bolt sequence wrong O-ring extruded on one side, dry on other 1–48 hours",B - conditional language required,The statement may be usable only with operating conditions and evidence.,1,"flange bolt sequence wrong o-ring extruded on one side, dry on other 1–48 hours",Convert to conditional language after manual approval.,"Dated test record, field record, calculation method, and operating conditions.","Inspection and replacement intervals depend on duty cycle, medium, filtration, temperature, pressure, and speed.",no,yes
HR-076,application-bottle-filling-capping.html,audit extraction; source line not recorded,Food-grade FKM seals: Replace every 6 months (audit requirement),B - conditional language required,The statement may be usable only with operating conditions and evidence.,1,food-grade fkm seals: replace every 6 months (audit requirement),Convert to conditional language after manual approval.,"Dated test record, field record, calculation method, and operating conditions.","Inspection and replacement intervals depend on duty cycle, medium, filtration, temperature, pressure, and speed.",no,yes
HR-077,application-packaging-machinery.html,audit extraction; source line not recorded,Food-grade lines: Replace every 6 months regardless of visible wear (audit requirement),B - conditional language required,The statement may be usable only with operating conditions and evidence.,1,food-grade lines: replace every 6 months regardless of visible wear (audit requirement),Convert to conditional language after manual approval.,"Dated test record, field record, calculation method, and operating conditions.","Inspection and replacement intervals depend on duty cycle, medium, filtration, temperature, pressure, and speed.",no,yes
HR-078,application-bottle-filling-capping.html,audit extraction; source line not recorded,Food-grade PTFE seals: Replace every 10–12 months on continuous-duty lines,B - conditional language required,The statement may be usable only with operating conditions and evidence.,1,food-grade ptfe seals: replace every 10–12 months on continuous-duty lines,Convert to conditional language after manual approval.,"Dated test record, field record, calculation method, and operating conditions.","Inspection and replacement intervals depend on duty cycle, medium, filtration, temperature, pressure, and speed.",no,yes
HR-079,application-pneumatic-tools-hose-anti-twist.html,line 34,"For handheld tools used 8 hours per shift, the swivel should weigh under 0.15 kg to minimize operator fatigue and repetitive strain.",B - conditional language required,The statement may be usable only with operating conditions and evidence.,1,"for handheld tools used 8 hours per shift, the swivel should weigh under 0.15 kg to minimize operator fatigue and repetitive strain.",Convert to conditional language after manual approval.,"Dated test record, field record, calculation method, and operating conditions.","Inspection and replacement intervals depend on duty cycle, medium, filtration, temperature, pressure, and speed.",no,yes
HR-080,application-robot-end-of-arm-tooling.html,audit extraction; source line not recorded,"High-cycle lines (24/7, 60 cycles/min): Replace every 6–8 months",B - conditional language required,The statement may be usable only with operating conditions and evidence.,1,"high-cycle lines (24/7, 60 cycles/min): replace every 6–8 months",Convert to conditional language after manual approval.,"Dated test record, field record, calculation method, and operating conditions.","Inspection and replacement intervals depend on duty cycle, medium, filtration, temperature, pressure, and speed.",no,yes
HR-081,application-automation-rotary-tables.html,audit extraction; source line not recorded,"High-cycle lines (>200 RPM, 24/7): Replace every 6–8 months",B - conditional language required,The statement may be usable only with operating conditions and evidence.,1,"high-cycle lines (>200 rpm, 24/7): replace every 6–8 months",Convert to conditional language after manual approval.,"Dated test record, field record, calculation method, and operating conditions.","Inspection and replacement intervals depend on duty cycle, medium, filtration, temperature, pressure, and speed.",no,yes
HR-082,application-pneumatic-tools-hose-anti-twist.html,audit extraction; source line not recorded,"High-frequency line (2 shifts, 1,000+ cycles/day): Replace every 5–6 months",B - conditional language required,The statement may be usable only with operating conditions and evidence.,1,"high-frequency line (2 shifts, 1,000+ cycles/day): replace every 5–6 months",Convert to conditional language after manual approval.,"Dated test record, field record, calculation method, and operating conditions.","Inspection and replacement intervals depend on duty cycle, medium, filtration, temperature, pressure, and speed.",no,yes
HR-083,blog-rotary-joint-selection.html,audit extraction; source line not recorded,High-pressure coolant delivery 0.5–2.0 MPa BP-2P-130-0001 (5.0 MPa rated),B - conditional language required,The statement may be usable only with operating conditions and evidence.,1,high-pressure coolant delivery 0.5–2.0 mpa {model} (5.0 mpa rated),Convert to conditional language after manual approval.,"Dated test record, field record, calculation method, and operating conditions.","State this as a typical, conditional outcome and identify the operating assumptions and evidence date.",no,yes
HR-084,application-automation-rotary-tables.html,audit extraction; source line not recorded,Indexing tables (FKM seals): Replace every 8–10 months on continuous-duty lines,B - conditional language required,The statement may be usable only with operating conditions and evidence.,1,indexing tables (fkm seals): replace every 8–10 months on continuous-duty lines,Convert to conditional language after manual approval.,"Dated test record, field record, calculation method, and operating conditions.","Inspection and replacement intervals depend on duty cycle, medium, filtration, temperature, pressure, and speed.",no,yes
HR-085,blog-rotary-union-seal-types.html,audit extraction; source line not recorded,"Key insight: There is no ""best"" seal.",A - absolute marketing language,Absolute marketing wording can overstate performance without bounded conditions.,1,"key insight: there is no ""best"" seal.",Delete the absolute wording or replace it only after technical review.,Documented test conditions and approved technical wording.,"Use a specific, bounded statement that names the operating and test conditions.",no,yes
HR-086,BP-3P-S06-0001.html,audit extraction; source line not recorded,Leakage Zero leakage (100% pressure tested),C - Begapunk evidence required,"Trust-critical company, certification, or test claim requires source evidence.",1,leakage zero leakage (100% pressure tested),Retain only after evidence is indexed; otherwise remove or qualify.,"Signed test report, procedure, equipment calibration record, sample size, and acceptance criteria.","Describe the verified test method and result with scope, sample size, and date.",no,yes
HR-087,application-pneumatic-tools-hose-anti-twist.html,audit extraction; source line not recorded,"Maintenance or occasional use: Inspect every 12 months, replace every 18–24 months",B - conditional language required,The statement may be usable only with operating conditions and evidence.,1,"maintenance or occasional use: inspect every 12 months, replace every 18–24 months",Convert to conditional language after manual approval.,"Dated test record, field record, calculation method, and operating conditions.","Inspection and replacement intervals depend on duty cycle, medium, filtration, temperature, pressure, and speed.",no,yes
HR-088,blog-rotary-union-seal-types.html,audit extraction; source line not recorded,Model Seal Type Pressure RPM Best For,A - absolute marketing language,Absolute marketing wording can overstate performance without bounded conditions.,1,model seal type pressure rpm best for,Delete the absolute wording or replace it only after technical review.,Documented test conditions and approved technical wording.,"Use a specific, bounded statement that names the operating and test conditions.",no,yes
HR-089,BP-3P-S06-0001.html,audit extraction; source line not recorded,More than 6 electrical circuits ❌ Too few circuits Custom S12 / S24 12 or 24 circuits with same 3 pneumatic passages; 5-day custom lead time,B - conditional language required,The statement may be usable only with operating conditions and evidence.,1,more than 6 electrical circuits ❌ too few circuits custom s12 / s24 12 or 24 circuits with same 3 pneumatic passages; 5-day custom lead time,Convert to conditional language after manual approval.,"Dated test record, field record, calculation method, and operating conditions.","State this as a typical, conditional outcome and identify the operating assumptions and evidence date.",no,yes
HR-090,faq.html,line 457,Most quotes are returned within 24 hours.,B - conditional language required,The statement may be usable only with operating conditions and evidence.,1,most quotes are returned within 24 hours.,Convert to conditional language after manual approval.,"Dated test record, field record, calculation method, and operating conditions.","Inspection and replacement intervals depend on duty cycle, medium, filtration, temperature, pressure, and speed.",no,yes
HR-091,blog-rotary-joint-selection.html,audit extraction; source line not recorded,Mount Type Best For Limitations,A - absolute marketing language,Absolute marketing wording can overstate performance without bounded conditions.,1,mount type best for limitations,Delete the absolute wording or replace it only after technical review.,Documented test conditions and approved technical wording.,"Use a specific, bounded statement that names the operating and test conditions.",no,yes
HR-092,faq.html,line 701,Our quality management system is ISO 9001:2015 certified.,C - Begapunk evidence required,"Trust-critical company, certification, or test claim requires source evidence.",1,our quality management system is iso 9001:2015 certified.,Retain only after evidence is indexed; otherwise remove or qualify.,"Current certificate or declaration, issuer, certificate number, validity period, scope, and applicable models.","Certification details and scope are available upon request, subject to verification against current documents.",no,yes
HR-093,application-packaging-machinery.html,line 99,Packaging machinery runs at 60–200 RPM for 16–24 hours per shift.,B - conditional language required,The statement may be usable only with operating conditions and evidence.,1,packaging machinery runs at 60–200 rpm for 16–24 hours per shift.,Convert to conditional language after manual approval.,"Dated test record, field record, calculation method, and operating conditions.","Inspection and replacement intervals depend on duty cycle, medium, filtration, temperature, pressure, and speed.",no,yes
HR-094,about.html,audit extraction; source line not recorded,Production Manager ISO 9001 Lead Auditor,C - Begapunk evidence required,"Trust-critical company, certification, or test claim requires source evidence.",1,production manager iso 9001 lead auditor,Retain only after evidence is indexed; otherwise remove or qualify.,"Current certificate or declaration, issuer, certificate number, validity period, scope, and applicable models.","Certification details and scope are available upon request, subject to verification against current documents.",no,yes
HR-095,application-packaging-machinery.html,audit extraction; source line not recorded,PTFE seals: Replace every 10–12 months on continuous-duty lines,B - conditional language required,The statement may be usable only with operating conditions and evidence.,1,ptfe seals: replace every 10–12 months on continuous-duty lines,Convert to conditional language after manual approval.,"Dated test record, field record, calculation method, and operating conditions.","Inspection and replacement intervals depend on duty cycle, medium, filtration, temperature, pressure, and speed.",no,yes
HR-096,blog-rotary-joint-selection.html,line 504,"Send us your operating conditions — pressure, RPM, media type, and channel count — and our engineers will return a spec recommendation within 24 hours.",B - conditional language required,The statement may be usable only with operating conditions and evidence.,1,"send us your operating conditions — pressure, rpm, media type, and channel count — and our engineers will return a spec recommendation within 24 hours.",Convert to conditional language after manual approval.,"Dated test record, field record, calculation method, and operating conditions.","Inspection and replacement intervals depend on duty cycle, medium, filtration, temperature, pressure, and speed.",no,yes
HR-097,BP-3P-S06-0001.html,audit extraction; source line not recorded,"Service Life 8,000 hours (rated conditions)",B - conditional language required,The statement may be usable only with operating conditions and evidence.,1,"service life 8,000 hours (rated conditions)",Convert to conditional language after manual approval.,"Dated test record, field record, calculation method, and operating conditions.","Inspection and replacement intervals depend on duty cycle, medium, filtration, temperature, pressure, and speed.",no,yes
HR-098,BP-1P-0003.html,line 176,Ships in 7 days from Ningbo.,F - cross-page data conflict,Lead-time wording varies across pages and may represent conflicting standard/custom scopes.,1,ships in 7 days from ningbo.,Define standard versus custom lead time and update consistently after approval.,"Dated order/production history, scope definition, stock policy, and quotation rules.","State separate typical standard and custom lead-time ranges, each with conditions and an as-of date.",no,yes
HR-099,BP-2P-95-0001.html,audit extraction; source line not recorded,Speed >200 RPM at 10 MPa ❌ Over speed rating Custom high-speed hydraulic Special low-friction seal and bearing for 500 RPM at 10 MPa,D - product base parameter; no automatic change,Product limit values may be misread as simultaneously achievable operating points.,1,speed >200 rpm at 10 mpa ❌ over speed rating custom high-speed hydraulic special low-friction seal and bearing for 500 rpm at 10 mpa,Do not auto-edit; reconcile with the approved model datasheet.,Approved datasheet defining maximum and continuous ratings and whether pressure and speed limits may be simultaneous.,Do not rewrite automatically. Clarify separate and simultaneous operating limits only from approved engineering data.,no,yes
HR-100,BP-2P-95-0001.html,audit extraction; source line not recorded,"Speeds above 200 RPM at maximum pressure — the PTFE seal friction torque rises with both speed and pressure; at 10 MPa and 200 RPM, seal temperature exceeds 80°C.",D - product base parameter; no automatic change,Product limit values may be misread as simultaneously achievable operating points.,1,"speeds above 200 rpm at maximum pressure — the ptfe seal friction torque rises with both speed and pressure; at 10 mpa and 200 rpm, seal temperature exceeds 80°c.",Do not auto-edit; reconcile with the approved model datasheet.,Approved datasheet defining maximum and continuous ratings and whether pressure and speed limits may be simultaneous.,Do not rewrite automatically. Clarify separate and simultaneous operating limits only from approved engineering data.,no,yes
HR-101,terms.html,audit extraction; source line not recorded,"Standard delivery: Air freight, 7–14 days to most countries.",B - conditional language required,The statement may be usable only with operating conditions and evidence.,1,"standard delivery: air freight, 7–14 days to most countries.",Convert to conditional language after manual approval.,"Dated test record, field record, calculation method, and operating conditions.","State this as a typical, conditional outcome and identify the operating assumptions and evidence date.",no,yes
HR-102,application-robot-end-of-arm-tooling.html,audit extraction; source line not recorded,"Standard duty (8-hour shift, 30 cycles/min): Replace every 10–12 months",B - conditional language required,The statement may be usable only with operating conditions and evidence.,1,"standard duty (8-hour shift, 30 cycles/min): replace every 10–12 months",Convert to conditional language after manual approval.,"Dated test record, field record, calculation method, and operating conditions.","Inspection and replacement intervals depend on duty cycle, medium, filtration, temperature, pressure, and speed.",no,yes
HR-103,application-packaging-machinery.html,line 34,"Standard duty seals rated for 5,000 hours will fail in 6–8 weeks under this load.",B - conditional language required,The statement may be usable only with operating conditions and evidence.,1,"standard duty seals rated for 5,000 hours will fail in 6–8 weeks under this load.",Convert to conditional language after manual approval.,"Dated test record, field record, calculation method, and operating conditions.","Inspection and replacement intervals depend on duty cycle, medium, filtration, temperature, pressure, and speed.",no,yes
HR-104,application-packaging-machinery.html,line 109,"Standard FKM seals rated for 5,000 hours fail in 6–8 weeks.",B - conditional language required,The statement may be usable only with operating conditions and evidence.,1,"standard fkm seals rated for 5,000 hours fail in 6–8 weeks.",Convert to conditional language after manual approval.,"Dated test record, field record, calculation method, and operating conditions.","Inspection and replacement intervals depend on duty cycle, medium, filtration, temperature, pressure, and speed.",no,yes
HR-105,application-packaging-machinery.html,line 105,"Standard FKM seals rated for 5,000 hours will fail in 6–8 weeks.",B - conditional language required,The statement may be usable only with operating conditions and evidence.,1,"standard fkm seals rated for 5,000 hours will fail in 6–8 weeks.",Convert to conditional language after manual approval.,"Dated test record, field record, calculation method, and operating conditions.","Inspection and replacement intervals depend on duty cycle, medium, filtration, temperature, pressure, and speed.",no,yes
HR-106,terms.html,line 207,"Standard models: Return within 30 days of delivery for a full refund, provided the product is unused and in original packaging.",B - conditional language required,The statement may be usable only with operating conditions and evidence.,1,"standard models: return within 30 days of delivery for a full refund, provided the product is unused and in original packaging.",Convert to conditional language after manual approval.,"Dated test record, field record, calculation method, and operating conditions.","State this as a typical, conditional outcome and identify the operating assumptions and evidence date.",no,yes
HR-107,application-packaging-machinery.html,line 99,"Standard seals rated for 5,000 hours fail in 6–8 weeks under this load.",B - conditional language required,The statement may be usable only with operating conditions and evidence.,1,"standard seals rated for 5,000 hours fail in 6–8 weeks under this load.",Convert to conditional language after manual approval.,"Dated test record, field record, calculation method, and operating conditions.","Inspection and replacement intervals depend on duty cycle, medium, filtration, temperature, pressure, and speed.",no,yes
HR-108,application-bottle-filling-capping.html,audit extraction; source line not recorded,Steam sterilization lines: Replace every 6 months regardless of visible wear (thermal fatigue),B - conditional language required,The statement may be usable only with operating conditions and evidence.,1,steam sterilization lines: replace every 6 months regardless of visible wear (thermal fatigue),Convert to conditional language after manual approval.,"Dated test record, field record, calculation method, and operating conditions.","Inspection and replacement intervals depend on duty cycle, medium, filtration, temperature, pressure, and speed.",no,yes
HR-109,BP-3P-0004.html,line 428,"The AL6061 flange face warps by 0.08 mm, creating a leak path that sprays air at 0.8 MPa within 48 hours.",B - conditional language required,The statement may be usable only with operating conditions and evidence.,1,"the al6061 flange face warps by 0.08 mm, creating a leak path that sprays air at 0.8 mpa within 48 hours.",Convert to conditional language after manual approval.,"Dated test record, field record, calculation method, and operating conditions.","Inspection and replacement intervals depend on duty cycle, medium, filtration, temperature, pressure, and speed.",no,yes
HR-110,applications.html,line 349,"The best model depends on machine function, installation constraints, and operating conditions.",A - absolute marketing language,Absolute marketing wording can overstate performance without bounded conditions.,1,"the best model depends on machine function, installation constraints, and operating conditions.",Delete the absolute wording or replace it only after technical review.,Documented test conditions and approved technical wording.,"Use a specific, bounded statement that names the operating and test conditions.",no,yes
HR-111,BP-2P-95-0001.html,line 437,The cost of a $40 filter element is negligible compared to a $200 seal kit and 4 hours of downtime.,B - conditional language required,The statement may be usable only with operating conditions and evidence.,1,the cost of a $40 filter element is negligible compared to a $200 seal kit and 4 hours of downtime.,Convert to conditional language after manual approval.,"Dated test record, field record, calculation method, and operating conditions.","Inspection and replacement intervals depend on duty cycle, medium, filtration, temperature, pressure, and speed.",no,yes
HR-112,BP-8P-0001.html,audit extraction; source line not recorded,"The custom upgrade cost is typically $80–$200 more than BP-8P-0001, with a 10–14 day lead time.",B - conditional language required,The statement may be usable only with operating conditions and evidence.,1,"the custom upgrade cost is typically $80–$200 more than {model}, with a 10–14 day lead time.",Convert to conditional language after manual approval.,"Dated test record, field record, calculation method, and operating conditions.","State this as a typical, conditional outcome and identify the operating assumptions and evidence date.",no,yes
HR-113,BP-3P-0004.html,line 432,The oil contaminates the work area and the machine stops for 4 hours.,B - conditional language required,The statement may be usable only with operating conditions and evidence.,1,the oil contaminates the work area and the machine stops for 4 hours.,Convert to conditional language after manual approval.,"Dated test record, field record, calculation method, and operating conditions.","Inspection and replacement intervals depend on duty cycle, medium, filtration, temperature, pressure, and speed.",no,yes
HR-114,BP-2P-30-0001.html,line 259,"The PTFE composite seal provides chemical resistance across air, water, and coolant media with zero leakage guaranteed from 100% pressure testing.",C - Begapunk evidence required,"Trust-critical company, certification, or test claim requires source evidence.",1,"the ptfe composite seal provides chemical resistance across air, water, and coolant media with zero leakage guaranteed from 100% pressure testing.",Retain only after evidence is indexed; otherwise remove or qualify.,"Signed test report, procedure, equipment calibration record, sample size, and acceptance criteria.","Describe the verified test method and result with scope, sample size, and date.",no,yes
HR-115,BP-3P-0004.html,line 432,"The PTFE seal extrudes under the over-pressure within 72 hours, causing catastrophic leakage across all three passages.",B - conditional language required,The statement may be usable only with operating conditions and evidence.,1,"the ptfe seal extrudes under the over-pressure within 72 hours, causing catastrophic leakage across all three passages.",Convert to conditional language after manual approval.,"Dated test record, field record, calculation method, and operating conditions.","Inspection and replacement intervals depend on duty cycle, medium, filtration, temperature, pressure, and speed.",no,yes
HR-116,application-automation-rotary-tables.html,line 109,The result: a last-minute custom design that delays delivery by 4–6 weeks.,B - conditional language required,The statement may be usable only with operating conditions and evidence.,1,the result: a last-minute custom design that delays delivery by 4–6 weeks.,Convert to conditional language after manual approval.,"Dated test record, field record, calculation method, and operating conditions.","Inspection and replacement intervals depend on duty cycle, medium, filtration, temperature, pressure, and speed.",no,yes
HR-117,blog-rotary-union-seal-types.html,line 248,"The right seal makes the joint disappear into the background of the machine — reliable, quiet, and maintenance-free for years.",A - absolute marketing language,Absolute marketing wording can overstate performance without bounded conditions.,1,"the right seal makes the joint disappear into the background of the machine — reliable, quiet, and maintenance-free for years.",Delete the absolute wording or replace it only after technical review.,Documented test conditions and approved technical wording.,"Use a specific, bounded statement that names the operating and test conditions.",no,yes
HR-118,BP-4P-30-0001.html,audit extraction; source line not recorded,The Si3N4 option adds 5–7 days lead time and is recommended only for abrasive or high-wear environments.,B - conditional language required,The statement may be usable only with operating conditions and evidence.,1,the si3n4 option adds 5–7 days lead time and is recommended only for abrasive or high-wear environments.,Convert to conditional language after manual approval.,"Dated test record, field record, calculation method, and operating conditions.","State this as a typical, conditional outcome and identify the operating assumptions and evidence date.",no,yes
HR-119,contact.html,line 510,Typical response time: 24 hours.,B - conditional language required,The statement may be usable only with operating conditions and evidence.,1,typical response time: 24 hours.,Convert to conditional language after manual approval.,"Dated test record, field record, calculation method, and operating conditions.","Inspection and replacement intervals depend on duty cycle, medium, filtration, temperature, pressure, and speed.",no,yes
HR-120,BP-2P-95-0001.html,line 534,"Upgrade to a custom design when your application exceeds the 2-in-4-out, 10 MPa, 200 RPM envelope.",D - product base parameter; no automatic change,Product limit values may be misread as simultaneously achievable operating points.,1,"upgrade to a custom design when your application exceeds the 2-in-4-out, 10 mpa, 200 rpm envelope.",Do not auto-edit; reconcile with the approved model datasheet.,Approved datasheet defining maximum and continuous ratings and whether pressure and speed limits may be simultaneous.,Do not rewrite automatically. Clarify separate and simultaneous operating limits only from approved engineering data.,no,yes
HR-121,faq.html,audit extraction; source line not recorded,"We strongly recommend using only Begapunk seals — third-party seals may have incorrect durometer (hardness) or material, leading to premature leakage.",A - absolute marketing language,Absolute marketing wording can overstate performance without bounded conditions.,1,"we strongly recommend using only begapunk seals — third-party seals may have incorrect durometer (hardness) or material, leading to premature leakage.",Delete the absolute wording or replace it only after technical review.,Documented test conditions and approved technical wording.,"Use a specific, bounded statement that names the operating and test conditions.",no,yes
HR-122,BP-8P-0001.html,line 408,"Within 48 hours, air bleeds from passage 3 into passage 5, causing pressure interference and dropped workpieces.",B - conditional language required,The statement may be usable only with operating conditions and evidence.,1,"within 48 hours, air bleeds from passage 3 into passage 5, causing pressure interference and dropped workpieces.",Convert to conditional language after manual approval.,"Dated test record, field record, calculation method, and operating conditions.","Inspection and replacement intervals depend on duty cycle, medium, filtration, temperature, pressure, and speed.",no,yes
HR-123,BP-4P-30-0001.html,line 409,"Within 48 hours, air leaks at 0.4 MPa.",B - conditional language required,The statement may be usable only with operating conditions and evidence.,1,"within 48 hours, air leaks at 0.4 mpa.",Convert to conditional language after manual approval.,"Dated test record, field record, calculation method, and operating conditions.","Inspection and replacement intervals depend on duty cycle, medium, filtration, temperature, pressure, and speed.",no,yes
HR-124,BP-2P-95-0001.html,line 437,"Within 48 hours, the seal leaks at 6 MPa.",B - conditional language required,The statement may be usable only with operating conditions and evidence.,1,"within 48 hours, the seal leaks at 6 mpa.",Convert to conditional language after manual approval.,"Dated test record, field record, calculation method, and operating conditions.","Inspection and replacement intervals depend on duty cycle, medium, filtration, temperature, pressure, and speed.",no,yes
HR-125,faq.html,audit extraction; source line not recorded,You send requirements → We provide a detailed quote within 24 hours,B - conditional language required,The statement may be usable only with operating conditions and evidence.,1,you send requirements → we provide a detailed quote within 24 hours,Convert to conditional language after manual approval.,"Dated test record, field record, calculation method, and operating conditions.","Inspection and replacement intervals depend on duty cycle, medium, filtration, temperature, pressure, and speed.",no,yes
HR-126,BP-2P-30-0001.html,audit extraction; source line not recorded,"Zero leakage from 100% pressure testing: Every unit is tested at 1.0 MPa before shipment — no drip, no bubble, no pressure decay",C - Begapunk evidence required,"Trust-critical company, certification, or test claim requires source evidence.",1,"zero leakage from 100% pressure testing: every unit is tested at 1.0 mpa before shipment — no drip, no bubble, no pressure decay",Retain only after evidence is indexed; otherwise remove or qualify.,"Signed test report, procedure, equipment calibration record, sample size, and acceptance criteria.","Describe the verified test method and result with scope, sample size, and date.",no,yes
HR-127,BP-3P-S06-0001.html,audit extraction; source line not recorded,"Zero leakage guarantee: Every unit is 100% pressure tested before shipment at 1.0 MPa for 60 seconds — no leaks, no exceptions",C - Begapunk evidence required,"Trust-critical company, certification, or test claim requires source evidence.",1,"zero leakage guarantee: every unit is 100% pressure tested before shipment at 1.0 mpa for 60 seconds — no leaks, no exceptions",Retain only after evidence is indexed; otherwise remove or qualify.,"Signed test report, procedure, equipment calibration record, sample size, and acceptance criteria.","Describe the verified test method and result with scope, sample size, and date.",no,yes
